# dimension of         number of      degree of      degree of
#   vector time series  observations  autoregression  moving average
 4                        1301           0              0
# missing values are denoted by 10000
-0.473592	-0.30815	-0.199577	-0.154677
0.140859	-0.256788	-0.823379	-0.947582
0.878565	0.510755	0.0	0.122549
-0.092243	0.013006	0.232915	0.454778
0.283347	-0.030348	-0.063428	-0.221496
0.87365	-0.099794	0.22194	0.264616
-1.151069	-0.33916	0.495036	-0.049285
0.556093	0.24579	-1.109324	1.183369
10000	10000	0.09559	0.049871
-1.191298	0.175813	0.381369	0.600417
-0.492389	0.080206	-0.052853	-0.463132
0.22138	1.150477	-1.374056	-0.715511
0.455121	0.570316	0.096452	-0.278595
-0.507914	-0.22389	-0.332728	-1.30826
-0.011463	-0.479324	0.450578	-0.255956
0.514421	-0.03003	-0.24647	0.201055
0.029738	-0.152459	-0.851195	-1.729183
0.422361	-0.450125	0.043262	-0.549942
0.219352	0.200551	-0.487831	-0.594355
-1.416883	0.021535	0.314622	0.338351
-0.927299	0.066744	-0.209864	0.092201
-1.827855	0.669292	0.437179	0.40851
1.14094	0.021372	-0.498493	-0.803503
-1.352715	0.271103	0.26037	-0.508511
-0.293667	-0.140795	0.432493	-0.453115
10000	10000	-0.151161	0.659751
-2.25128	-2.365302	-0.227136	-0.17125
-1.91442	0.453628	-0.054196	0.053124
0.186477	0.13916	0.604944	0.562375
-2.718194	0.026071	-0.258808	-0.544666
-0.022071	0.733733	0.860144	0.43787
0.202913	-0.233168	0.587028	-0.355174
1.828222	0.592655	0.68941	0.42636
-2.291391	-0.353018	-0.9558	-0.53858
0.944425	0.642672	-0.299244	-0.735099
-0.755932	-0.414362	0.074873	0.08206
0.317626	-0.256347	-0.460925	-0.392117
-1.247019	-0.220248	-0.581948	-0.175086
-3.15006	-0.752936	-0.281352	0.649338
10000	10000	0.184056	0.0822
-1.844537	0.701037	-0.129879	-0.123269
10000	10000	0.0	-0.18756
-2.016672	0.151285	-0.564885	-0.35071
-3.949043	-0.250823	-0.196257	0.35071
2.018395	-0.023814	0.076443	-0.490652
4.287754	0.021654	0.250449	-0.407045
1.928344	0.263778	-0.130635	-0.011607
0.003434	0.383627	0.347981	0.197474
-3.609568	0.330709	0.562959	1.157847
0.37405	0.070729	0.33406	-0.24086
-2.367809	-0.100745	-1.092583	-0.246136
3.300647	-0.453538	0.217309	0.340058
1.139425	-0.053873	-0.609579	0.276418
0.404227	0.380801	0.370489	-0.587203
-0.1074	-0.568505	-0.468887	-0.362337
1.036969	-0.263813	-0.525961	-0.273803
1.701528	0.324262	0.482231	0.618578
1.465552	0.653965	-0.350453	0.058561
-3.653764	-0.113706	-0.737973	-0.245713
-0.511587	-0.118137	-0.365433	0.245713
0.749751	0.433193	0.387504	0.369682
10000	10000	0.110539	0.471424
10000	10000	-0.353907	-0.265454
-3.653393	0.686673	-0.410837	-0.235366
1.834043	0.084971	-0.178083	0.117615
0.818639	-0.076475	-0.223183	-1.564631
0.837214	-0.413103	-0.134114	-0.445045
10000	10000	10000	10000
10000	10000	-0.786034	-0.580778
-0.273091	-0.37412	0.146473	0.482781
2.354034	0.141255	-0.688972	-0.390999
0.552411	-0.09201	0.74523	-0.068852
1.344349	0.593372	0.516168	0.979728
1.747116	1.136315	0.022345	-0.410347
0.226439	-0.240148	-0.741244	-0.339716
1.655821	0.008438	0.33766	0.339716
-1.159309	-0.359168	0.515453	-0.958597
2.111553	0.515106	0.69058	0.028574
-1.317453	-0.339591	-0.22228	-0.137061
-1.132229	0.20052	0.311051	0.354442
2.795359	0.01054	-0.589499	-0.028637
0.756189	0.143271	0.078016	0.545366
0.641756	-0.054756	-0.0669	-0.968128
-5.068384	-0.580973	-0.480798	0.165464
1.595203	-0.222717	1.291829	0.148578
2.592874	0.48299	0.946949	0.177452
-1.295952	0.810312	0.916505	0.932425
-0.711341	0.345284	-1.278798	-0.731715
7.550913	0.606051	1.852711	0.529526
0.921244	-0.414051	-0.205381	0.057729
-0.817931	0.495	-0.184116	-0.16731
-0.372093	-0.267995	-0.021678	-0.448638
0.6256	-2.293581	-0.893029	-1.101519
-1.423928	0.414205	0.958068	0.210232
1.176352	-0.150618	-0.466992	-0.329365
-2.044586	0.364477	0.488686	0.306613
0.749743	-0.81555	0.23798	0.307556
10000	10000	0.946606	0.005705
-2.694459	0.276847	4.592591	1.621748
-2.522131	0.485809	-1.379593	-0.399242
0.40766	0.057128	-0.249129	0.445637
-0.63564	-0.51955	-0.020793	0.24973
0.148895	-0.565014	-0.573329	0.302834
10000	10000	-1.740146	-0.77274
2.000113	0.802856	1.026657	0.202778
-0.00414	-0.163454	-0.527872	-0.191203
2.166689	-1.375495	0.885219	0.615456
0.191567	0.389109	0.272478	0.61341
0.973955	0.229318	-0.062865	0.087935
1.091277	-0.579665	0.146529	-0.333747
-2.361637	0.079633	0.417332	0.193089
-0.706015	-0.388004	0.446666	-0.198942
1.820236	0.372942	-1.725056	-0.478154
-0.774903	0.465844	-0.211059	-0.063976
0.435705	-0.220843	0.495384	0.577213
-0.29801	0.252962	-0.094675	0.851464
1.259881	-0.678873	0.021102	0.704257
0.122368	0.54604	0.262714	0.005941
2.021846	0.203466	-1.278076	-0.355733
-0.084322	-0.081337	0.212354	-0.401627
0.820271	0.514723	0.190795	0.531916
-0.414876	0.314783	0.074074	-0.343113
-0.597694	0.033972	-0.381602	-0.294853
10000	10000	0.23332	0.507676
-1.060443	-0.480926	-0.063598	-0.017757
-1.449361	-0.055472	-0.414334	0.421018
0.379004	-0.89829	1.332503	0.811406
