      index  analytical        finite     % error 
                              difference 
         1       21.9965       21.9965   2.11405e-07
         2       8.01698       8.01698   4.68081e-07
         3       3.96692       3.96692   9.68887e-09
         4       1.28787       1.28787   1.55585e-07
         5       1.86881       1.86881   5.24095e-08
         6       9.22038       9.22038   1.54713e-07
         7       14.2651       14.2651   2.25506e-08
         8       21.7868       21.7868   9.87272e-08
