3.01273e-28

Initial statistics: 625 variables; iteration 0; function evaluation 0
Function value   3.9769573e+01; maximum gradient component mag  -5.9319e+01
Var   Value    Gradient   |Var   Value    Gradient   |Var   Value    Gradient   
184  0.00000 -4.49866e+00 |185  0.00000 -4.31184e+00 |186  0.00000 -1.21583e+00
187  0.00000 -6.72878e+00 |188  0.00000  3.37118e+00 |189  0.00000 -7.22335e-01
190  0.00000 -1.80678e-01 |191  0.00000  4.23854e+00 |192  0.00000 -1.74810e+00
193  0.00000  5.46042e+00 |194  0.00000  3.30439e+00 |195  0.00000 -1.56346e+00
196  0.00000 -4.96882e+00 |197  0.00000 -6.12683e+00 |198  0.00000 -5.02172e+00
199  0.00000  3.33001e+00 |200  0.00000  4.30416e+00 |201  0.00000  4.79151e+00
202  0.00000  3.95914e+00 |203  0.00000 -1.62186e+01 |204  0.00000  6.77909e+00
205  0.00000 -9.61662e+00 |206  0.00000  3.06895e+00 |207  0.00000  6.85323e+00
208  0.00000 -3.47705e+00 |209  0.00000 -8.24818e+00 |210  0.00000 -1.15346e+01
211  0.00000 -5.31111e+00 |212  0.00000 -9.26015e+00 |213  0.00000  5.32097e+00
214  0.00000 -1.09968e+00 |215  0.00000 -3.85172e+00 |216  0.00000  3.10324e+00
217  0.00000  2.38806e+00 |218  0.00000  4.93140e+00 |219  0.00000  3.39635e+00
220  0.00000 -3.45211e+00 |221  0.00000 -7.32031e+00 |222  0.00000 -1.41978e+01
223  0.00000 -4.40864e+00 |224  0.00000  1.79645e+00 |225  0.00000  8.23945e+00
226  0.00000  5.18837e+00 |227  0.00000  4.15160e+00 |228  0.00000 -2.76224e+01
229  0.00000  1.25784e+01 |230  0.00000 -1.60729e+01 |231  0.00000  6.05369e+00
232  0.00000  8.30922e+00 |233  0.00000 -4.95408e+00 |234  0.00000 -1.21683e+01
235  0.00000 -1.96976e+01 |236  0.00000 -1.04803e+01 |237  0.00000 -1.31840e+01
238  0.00000  9.52058e+00 |239  0.00000  1.23215e+00 |240  0.00000 -5.07622e+00
241  0.00000  2.10993e+00 |242  0.00000  7.52067e+00 |243  0.00000  7.08265e+00
244  0.00000  5.52807e+00 |245  0.00000 -9.40439e+00 |246  0.00000 -1.05334e+01
247  0.00000 -2.32242e+01 |248  0.00000 -7.30492e+00 |249  0.00000  2.70090e+00
250  0.00000  1.43996e+01 |251  0.00000  3.84928e+00 |252  0.00000  3.66256e+00
253  0.00000 -8.82832e+00 |254  0.00000  3.83453e+00 |255  0.00000 -5.73966e+00
256  0.00000  1.23391e+00 |257  0.00000  6.50309e+00 |258  0.00000 -2.55614e+00
259  0.00000 -5.35690e+00 |260  0.00000 -5.81656e+00 |261  0.00000 -2.02082e+00
262  0.00000 -6.59334e+00 |263  0.00000  3.36914e+00 |264  0.00000 -1.80094e+00
265  0.00000 -2.06790e+00 |266  0.00000  3.55488e+00 |267  0.00000 -8.60767e-01
268  0.00000  4.04804e+00 |269  0.00000  2.16971e+00 |270  0.00000 -5.00279e-01
271  0.00000 -5.11379e+00 |272  0.00000 -8.34393e+00 |273  0.00000 -3.30174e+00
274  0.00000  2.18265e+00 |275  0.00000  4.51309e+00 |276  0.00000 -2.23724e+00
277  0.00000 -2.75925e+00 |278  0.00000  9.00936e+00 |279  0.00000 -4.39015e+00
280  0.00000  5.79284e+00 |281  0.00000 -1.24412e+00 |282  0.00000 -5.52680e+00
283  0.00000  1.96448e+00 |284  0.00000  4.45547e+00 |285  0.00000  5.49792e+00
286  0.00000  2.39738e+00 |287  0.00000  5.70952e+00 |288  0.00000 -3.46910e+00
289  0.00000  3.24320e-01 |290  0.00000  9.79401e-01 |291  0.00000 -2.58378e+00
292  0.00000 -2.64298e-01 |293  0.00000 -4.12508e+00 |294  0.00000 -2.48111e+00
295  0.00000  2.28459e+00 |296  0.00000  4.42017e+00 |297  0.00000  7.41397e+00
298  0.00000  3.80137e+00 |299  0.00000 -2.29756e+00 |300  0.00000 -4.68889e+00
301  0.00000 -2.95921e+00 |302  0.00000 -2.48675e+00 |303  0.00000  1.73290e+01
304  0.00000 -8.17999e+00 |305  0.00000  1.01953e+01 |306  0.00000 -3.82744e+00
307  0.00000 -5.33241e+00 |308  0.00000  3.12232e+00 |309  0.00000  7.54347e+00
310  0.00000  1.23454e+01 |311  0.00000  6.70854e+00 |312  0.00000  8.19596e+00
313  0.00000 -6.28131e+00 |314  0.00000 -1.11780e+00 |315  0.00000  2.84243e+00
